taxon_no,taxon_name
302384,Sacculina
302397,Sylon
302266,Heteralepas
302267,Paralepas
22164,Lepas
302270,Microlepas
22174,Oxynaspis
302273,Glyptelasma
302274,Megalasma
302276,Octolasmis
22180,Poecilasma
302275,Temnaspis
22166,Loriculina
22193,Stramentum
302351,Cryptophialus
302344,Balanodytes
302346,Berndtia
302347,Kochlorine
302348,Kochlorinopsis
302345,Lithoglyptes
302349,Weltneria
22132,Calantica
22142,Cretiscalpellum
302282,Crosnieriella
22155,Euscalpellum
22181,Pollicipes
22189,Scillaelepas
22191,Smilium
22210,Zeugmatolepas
302284,Capitulum
302287,Alcockianum
302290,Amigdoscalpellum
302291,Anguloscalpellum
302288,Annandaleum
22120,Aporolepas
22121,Archaeolepas
22122,Arcoscalpellum
302292,Catherinum
22152,Eolepas
22158,Graviscalpellum
302289,Gymnoscalpellum
302331,Litoscalpellum
22171,Neolepas
22172,Neoscalpellum
302293,Pilsbryiscalpellum
302294,Planoscalpellum
22187,Scalpellum
302329,Tarasovium
302295,Trianguloscalpellum
302296,Verum
22209,Zeascalpellum
22118,Acasta
22138,Chirona
302319,Conopea
22159,Hesperibalanus
22163,Kathpalmeria
302458,Membranobalanus
22190,Semibalanus
22192,Solidobalanus
302318,Striatobalanus
321625,Zullobalanus
302327,Amphibalanus
22124,Arossia
22127,Balanus
22136,Chesaconcavus
22140,Concavus
22143,Creusia
22148,Emersonius
22156,Fistulobalanus
22167,Mclelannia
22168,Megabalanus
302470,Menesiniella
22178,Paraconcavus
22194,Tamiosoma
22184,Pycnolepas
302437,Catophragmus
22135,Chelonibia
22137,Chionelasmus
302313,Chinochthamalus
22139,Chthamalus
302439,Euraphia
302440,Nesochthamalus
302442,Cetopirus
22141,Coronula
22144,Cryptolepas
302443,Xenobalanus
22129,Bathylasma
302309,Eurylasma
302307,Eutomolasma
22160,Hexelasma
302311,Metalasma
302308,Microlasma
22176,Pachylasma
302310,Tetrapachylasma
22207,Waikalasma
302447,Cylindrolepas
22179,Platylepas
302450,Stephanolepas
302452,Stomatolepas
302323,Cantellius
22133,Ceratoconcha
302324,Cionophora
302325,Hiroa
302471,Megatrema
302326,Parahoekia
22185,Pyrgoma
287307,Savignium
302316,Newmanella
22198,Tesseropora
22199,Tetraclita
271166,Tetraclitella
302299,Altiverruca
302300,Brochiverruca
302301,Cameraverruca
302302,Metaverruca
302303,Rostratoverruca
22205,Verruca
22119,Actinobalanus
22123,Armatobalanus
22125,Austrobalanus
22126,Austromegabalanus
22128,Bassettina
22130,Blastolepas
22131,Brachylepas
22134,Chamaesipho
279987,Chitobalanus
279985,Corobalanus
22145,Cyprilepas
22146,Dosima
22147,Elminius
22149,Endosacculus
22150,Eoceratoconcha
22151,Eolasma
22153,Eoverruca
22154,Epopella
22157,Fosterella
22161,Ilba
22162,Illilepas
22165,Lophobalanus
22169,Mesolasma
22170,Mesoscalpellum
22173,Notobalanus
303019,Notomegabalanus
22175,Pachydiadema
22177,Palaeobalanus
22183,Proverruca
22188,Schreteriella
22195,Tasmanobalanus
22196,Tessarelasma
22197,Tesseroplax
22200,Tetrinis
22201,Titanolepas
22202,Trilasmis
22206,Virgiscalpellum
179846,Cletocamptus
22116,Kabatarina
22284,Aenigmacaris
22285,Aratidecthes
22286,Crangopsis
22287,Joanellia
22288,Kallidecthes
133203,Amphionides
22823,Melita
22825,Praegmelina
237390,Carcinurus
237408,Gampsonychus
237373,Gampsonyx
65610,Uronectes
22609,Palaeopemphix
259216,Carinatacaris
22229,Aristozoe
22230,Baituganocaris
22231,Callizoe
22233,Ceratiocaris
91515,Cinerocaris
22234,Dictyocaris
22235,Dilophaspis
91519,Dithryocaris
22236,Dithyrocaris
22237,Echinocaris
22238,Eleutherocaris
22239,Elymocaris
22240,Gonatocaris
22241,Guerichicaris
22242,Hebertocaris
22243,Heroldina
22244,Kerfornecaris
22245,Lebesconteia
22246,Macrocaris
102142,Mesothyra
22247,Montecaris
22248,Nahecaris
22249,Ohiocaris
22250,Orozoe
91521,Paraechinocaris
22251,Pephricaris
22252,Ptychocaris
22253,Pygocaris
22254,Rhinocaris
22255,Schugurocaris
22256,Trigonocarys
22257,Tropidocaris
22301,Belotelson
22783,Nannastacus
22784,Palaeocuma
22290,Anthracophausia
22291,Devonocaris
22292,Eocaris
22293,Essoidea
