Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Decimal Degree,Mineral Name (plain),RRUFF Chemistry (plain),RRUFF Chemistry (concise),Chemistry Elements,Country of Type Locality,Structural Groupname,Fleischers Groupname
2710,2700,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-58,-40,120,29,38,"-27.977777777778,120.49388888889",Galena,Pb<sup>2+</sup>S<sup>2-</sup>,Pb^2+^S^2-^,Pb S,unknown,Rocksalt,galena
2710,2700,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-58,-40,120,29,38,"-27.977777777778,120.49388888889",Pyrite,FeS<sub>2</sub>,FeS_2_,Fe S,unknown,Pyrite,pyrite
2710,2700,268586,"Cox-Crusader Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,-5,-17,120,28,44,"-28.088055555556,120.47888888889",Chalcopyrite,Cu<sup>1+</sup>Fe<sup>3+</sup>S<sup>2-</sup><sub>2</sub>,Cu^1+^Fe^3+^S^2-^_2_,Cu Fe S,unknown,Chalcopyrite,chalcopyrite
2710,2700,268586,"Cox-Crusader Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,-5,-17,120,28,44,"-28.088055555556,120.47888888889",Pyrite,FeS<sub>2</sub>,FeS_2_,Fe S,unknown,Pyrite,pyrite
2710,2700,268586,"Cox-Crusader Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,-5,-17,120,28,44,"-28.088055555556,120.47888888889",Pyrrhotite,Fe<sup>2+</sup><sub>5</sub>Fe<sup>3+</sup><sub>2</sub>S<sup>2-</sup><sub>8</sub>,Fe^2+^_5_Fe^3+^_2_S^2-^_8_,Fe S,Japan,Nickeline,Â 
2710,2700,268583,"New Holland-Genesis Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-58,-29,120,29,40,"-27.974722222222,120.49444444444",Arsenopyrite,FeAsS,FeAsS,Fe As S,unknown,Arsenopyrite,arsenopyrite
2710,2700,268583,"New Holland-Genesis Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-58,-29,120,29,40,"-27.974722222222,120.49444444444",Chalcopyrite,Cu<sup>1+</sup>Fe<sup>3+</sup>S<sup>2-</sup><sub>2</sub>,Cu^1+^Fe^3+^S^2-^_2_,Cu Fe S,unknown,Chalcopyrite,chalcopyrite
2710,2700,268583,"New Holland-Genesis Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-58,-29,120,29,40,"-27.974722222222,120.49444444444",Galena,Pb<sup>2+</sup>S<sup>2-</sup>,Pb^2+^S^2-^,Pb S,unknown,Rocksalt,galena
2710,2700,240064,"Redeemer Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,-3,-41,120,28,59,"-28.061388888889,120.48305555556",Arsenopyrite,FeAsS,FeAsS,Fe As S,unknown,Arsenopyrite,arsenopyrite
2710,2700,240064,"Redeemer Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,-3,-41,120,28,59,"-28.061388888889,120.48305555556",Chalcopyrite,Cu<sup>1+</sup>Fe<sup>3+</sup>S<sup>2-</sup><sub>2</sub>,Cu^1+^Fe^3+^S^2-^_2_,Cu Fe S,unknown,Chalcopyrite,chalcopyrite
