Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Decimal Degree,Mineral Name (plain),RRUFF Chemistry (plain),RRUFF Chemistry (concise),Chemistry Elements,Country of Type Locality,Structural Groupname,Fleischers Groupname
2494,5,193920,"Central Mine, Yancowinna Co., New South Wales, Australia",,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",-31,-58,-15,141,27,41,"-31.970833333333,141.46138888889",Azurite,Cu<sup>2+</sup><sub>3</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>,Cu^2+^_3_(CO_3_)_2_(OH)_2_,Cu C O H,France,Â ,Â 
2494,5,193920,"Central Mine, Yancowinna Co., New South Wales, Australia",,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",-31,-58,-15,141,27,41,"-31.970833333333,141.46138888889",Cerussite,PbCO<sub>3</sub>,PbCO_3_,Pb C O,Italy,Aragonite,aragonite
2494,5,193920,"Central Mine, Yancowinna Co., New South Wales, Australia",,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",-31,-58,-15,141,27,41,"-31.970833333333,141.46138888889",Malachite,Cu<sup>2+</sup><sub>2</sub>CO<sub>3</sub>(OH)<sub>2</sub>,Cu^2+^_2_CO_3_(OH)_2_,Cu C O H,unknown,Malachite,rosasite
2494,5,241617,"Southern Cross Shaft, Yancowinna Co., New South Wales, Australia",,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Calcite,CaCO<sub>3</sub>,CaCO_3_,Ca C O,unknown,Calcite,calcite
1703,1697,10308,"Consols Mine (ABH Consols Mine; Australian Broken Hill Consols Mine), Yancowinna Co., New South Wales, Australia",Continental Extension,10308,"Consols Mine (ABH Consols Mine; Australian Broken Hill Consols Mine), Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Calcite,CaCO<sub>3</sub>,CaCO_3_,Ca C O,unknown,Calcite,calcite
1703,1697,10308,"Consols Mine (ABH Consols Mine; Australian Broken Hill Consols Mine), Yancowinna Co., New South Wales, Australia",Continental Extension,10308,"Consols Mine (ABH Consols Mine; Australian Broken Hill Consols Mine), Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Cerussite,PbCO<sub>3</sub>,PbCO_3_,Pb C O,Italy,Aragonite,aragonite
1703,1697,10308,"Consols Mine (ABH Consols Mine; Australian Broken Hill Consols Mine), Yancowinna Co., New South Wales, Australia",Continental Extension,10308,"Consols Mine (ABH Consols Mine; Australian Broken Hill Consols Mine), Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Siderite,Fe<sup>2+</sup>CO<sub>3</sub>,Fe^2+^CO_3_,Fe C O,unknown,Calcite,calcite
2494,5,105746,"Junction Mine, Yancowinna Co., New South Wales, Australia",,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",-31,-57,-17,141,28,44,"-31.954722222222,141.47888888889",Smithsonite,Zn<sup>2+</sup>CO<sub>3</sub>,Zn^2+^CO_3_,Zn C O,United Kingdom,Calcite,calcite
2494,5,210882,"Browne's Shaft, Yancowinna Co., New South Wales, Australia",,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Siderite,Fe<sup>2+</sup>CO<sub>3</sub>,Fe^2+^CO_3_,Fe C O,unknown,Calcite,calcite
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Aragonite,CaCO<sub>3</sub>,CaCO_3_,Ca C O,Spain,Aragonite,aragonite
