Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Decimal Degree,Mineral Name (plain),RRUFF Chemistry (plain),RRUFF Chemistry (concise),Chemistry Elements,Country of Type Locality,Structural Groupname,Fleischers Groupname
2680,2600,122816,"Black Swan Mine (Silver Swan; Cygnet), Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-23,-40,121,39,15,"-30.394444444444,121.65416666667",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2680,2600,203494,"GK Shoot (Golden Kilometre), Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",0,0,0,0,0,0,"0,0",Ilmenite,Fe<sup>2+</sup>Ti<sup>4+</sup>O<sub>3</sub>,Fe^2+^Ti^4+^O_3_,Fe Ti O,Russia,Corundum,ilmenite
2680,2600,203494,"GK Shoot (Golden Kilometre), Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",0,0,0,0,0,0,"0,0",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2680,2600,203496,"Lady Bountiful Au Deposit, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-28,-43,121,13,17,"-30.478611111111,121.22138888889",Hematite,Fe<sup>3+</sup><sub>2</sub>O<sub>3</sub>,Fe^3+^_2_O_3_,Fe O,unknown,Corundum,hematite
2680,2600,203496,"Lady Bountiful Au Deposit, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-28,-43,121,13,17,"-30.478611111111,121.22138888889",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2680,2600,203751,"Scotia Nickel Mine, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-13,0,121,16,0,"-30.216666666667,121.26666666667",Goethite,Fe<sup>3+</sup>O(OH),Fe^3+^O(OH),Fe O H,Germany,Â ,diaspore
2680,2600,203751,"Scotia Nickel Mine, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-13,0,121,16,0,"-30.216666666667,121.26666666667",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2680,2600,122902,"Bulong Complex North Prospect, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-40,-45,121,49,0,"-30.679166666667,121.81666666667",Chromite,Fe<sup>2+</sup>Cr<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Cr^3+^_2_O_4_,Fe Cr O,France,Spinel,spinel
2680,2600,122902,"Bulong Complex North Prospect, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-40,-45,121,49,0,"-30.679166666667,121.81666666667",Goethite,Fe<sup>3+</sup>O(OH),Fe^3+^O(OH),Fe O H,Germany,Â ,diaspore
2680,2600,122902,"Bulong Complex North Prospect, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-40,-45,121,49,0,"-30.679166666667,121.81666666667",Hematite,Fe<sup>3+</sup><sub>2</sub>O<sub>3</sub>,Fe^3+^_2_O_3_,Fe O,unknown,Corundum,hematite
2680,2600,122902,"Bulong Complex North Prospect, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-40,-45,121,49,0,"-30.679166666667,121.81666666667",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2680,2600,122920,"Cowarna Rocks Prospect, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-31,-1,-25,121,31,40,"-31.023611111111,121.52777777778",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2680,2600,122919,"Abattoirs Prospect, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-31,-1,-25,121,31,40,"-31.023611111111,121.52777777778",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2680,2600,203518,"Great Boulder Mine (Phantom Lode; Great Boulder South; Great Boulder North; Great Boulder Extended), Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",0,0,0,0,0,0,"0,0",Hematite,Fe<sup>3+</sup><sub>2</sub>O<sub>3</sub>,Fe^3+^_2_O_3_,Fe O,unknown,Corundum,hematite
